"id","first_name","last_name","url","image_url","team_id","number","position","feet","inches","weight","last_attended","country","past_teams","age","bio","active","birthdate","professional_bio","personal_bio","before_nba_bio"
"76006","Forest","Able","https://www.nba.com/stats/player/76006/career/","https://cdn.nba.com/headshots/nba/latest/260x190/76006.png","1610612755","6","G",6,3,"180","Western Kentucky","USA",NULL,92,NULL,False,"July 27, 1932","No professional bio available","No personal bio available","No before NBA bio available"
"1628963","Marvin","Bagley III","https://www.nba.com/player/1628963/marvin-bagley-iii/","https://cdn.nba.com/headshots/nba/latest/260x190/1628963.png","1610612764","35","F",6,10,"235.0","Duke","USA","{WAS,DET,SAC}",25,"Marvin Bagley III was born in 1999 in Tempe, Arizona. He is the son of Marvin Bagley Jr. and Tracy Bagley and has two brothers. His father played college football at North Carolina A&T and went on to play professionally in the Arena Football League. Bagley's grandfather, Joe Caldwell, played six seasons in the NBA from 1964-70 and five seasons in the American Basketball Association from 1970-75. Caldwell is one of 20 players to make an All-Star team in both the NBA and ABA, and he won a gold medal as a member of Team USA at the 1964 Summer Olympics in Japan. Bagley III played high school ball first at Corona del Sol in Tempe as a freshman, then at Hillcrest Prep Academy in Phoenix as a sophomore. At Hillcrest, Bagley was teammates with fellow NBA big man Deandre Ayton. He transferred again, this time to Sierra Canyon School in Chatsworth, California, which cost him a year of eligibility. Bagley averaged 24.9 points and 10.1 rebounds per game during his 2016-17 season at Sierra Canyon. Bagley won the 2017 Gatorade California Player of the Year and John R. Wooden CIF Southern Section Player of the Year awards while maintaining a 3.4 grade-point average. Bagley loves to write and record music. While living in Los Angeles, he volunteered at Hoops with Heart, a non-profit benefiting underprivileged youth. Fans can follow him on Twitter (@MB3FIVE) and Instagram (mb3five). After reclassifying from the 2018 class to the high school 2017 class, Marvin Bagley landed at Duke University as the consensus top recruit in the country. Bagley averaged 21.0 points, 11.1 rebounds, 0.9 blocks and 0.7 three-pointers per game while shooting 61.4 percent from the field in his lone season (2017-18) at Duke. The season was filled with notable performances such as a 32-point, 21-rebound outburst against Florida State, just the eighth 30-20 game in Duke history. In an ACC Tournament matchup with Notre Dame, Bagley posted 33 points, the third most by a freshman in the tournament  history. He also recorded 17 rebounds, one short of tying Ralph Sampson's freshman tournament mark. Bagley's freshman campaign came to an end with an NCAA Tournament Elite Eight loss to the Kansas Jayhawks. His season culminated in consensus first-team All-American honors, first-team All-ACC honors, as well as both the ACC Rookie of the Year and ACC Player of the Year awards. At the end of his freshman season, Bagley declared himself eligible for the 2018 NBA Draft and was chosen by the Sacramento Kings with the second overall pick.",True,"March 14, 1999","TRANSACTIONS/CAREER NOTES: An early entrant candidate selected in the first round (2nd overall) of the 2018 NBA Draft by the Sacramento Kings after his freshman season at Duke ... Signed a contract with Sacramento (7/1/18). NBA HONORS/AWARDS: Named to the 2018-19 All-Rookie First Team ... Selected to compete in the 2019 Mtn Dew Ice Rising Stars Challenge for the U.S. Team. NBA CAREER: Averaging 14.5 ppg (.500 FG%, .314 3pt%, .663 FT%), 7.5 rpg, 1.0 apg, 0.5 spg, 0.8 bpg and 25.5 mpg in 118 career NBA games (52 starts) over three seasons with Sacramento (2018-21). 2020-21 (Sacramento): 2020-21 (Sacramento): Averaging 14.1 ppg (.504 FG%, .343 3pt%, .575 FT%), 7.4 rpg, 1.0 assists and 25.9 mpg in 43 games (42 starts) during the 2020-21 season ... Left game at CHA with left hand ... Missed 4 games due to right groin tightness ... Missed 22 games due to left 4th metacarpal fracture ... Missed 2 games due to left calf soreness ... Scored 30 or more points in 1 game ... Scored 20 or more points in 7 games ... Scored 10 or more points in 35 games ... Collected 10+ rebounds in 12 games ... Recorded 11 double-doubles this season ... Top Single-Game Performances: Scored a season-high 31 points and 12 rebounds with a career-high 13 made field goals at IND (5/5) ... Scored 26 points to go along with 10 rebounds vs. NOP (1/17) ... Collected a career-high 8 offensive rebounds at ORL (1/27) ... Made 7-of-8 baskets from the field at Miami (1/30) ... Has scored in double figures in 11 consecutive games played (2/9-3/4). 2019-20 (Sacramento): Averaged 14.2 ppg (.467 FG%, .182 3pt%, .806 FT%), 7.5 rpg, 0.8 apg, 0.5 spg, 0.9 bpg and 25.7 mpg in 13 games (6 starts) ... As a starter, averaged 14.5 ppg (.474 FG%, .100 3pt%, .800 FT%), 8.2 rpg, 0.7 apg, 0.7 spg, 0.7 bpg and 28.2 mpg in six games ... As a reserve, averaged 14.0 ppg (.461 FG%, .250 3pt%, .813 FT%), 6.9 rpg, 0.9 apg, 1.1 bpg and 23.6 mpg in seven games ... Led the Kings in rebounds in four games ... Scored in double figures in 13 games ... Collected 10+ rebounds three times ... Recorded three double-doubles ... Missed 59 games ... Inactive in 22 games due to a right thumb fracture (10/25-12/9/19) ... Inactive in 22 games due to left foot soreness (12/28/19, 1/22-3/8/20) ... Inactive in seven games due to a left foot sprain (12/29/19-1/10/20) ... Inactive in eight games due to a right foot sprain (7/31-8/13/20) ... Top Single-Game Performances: Posted 14 points and 10 rebounds in the season opener at Phoenix (10/23/19) marking the first time a Kings player had a double-double in an opener since the 2017-18 season ... Blocked three shots and scored 17 points at Indiana (12/20/19) ... Scored 18 points and added six rebounds vs. Orlando (1/13/20) ... Recorded 15 points and 15 rebounds, including a career-high tying 10 defensive boards at Miami (1/20/20). 2018-19 (Sacramento): An All-Rookie First Team selection after he averaged 14.9 ppg (.504 FG%, .313 3pt%, .691 FT%), 7.6 rpg, 1.0 apg, 0.5 spg, 1.0 bpg and 25.3 mpg in 62 games (4 starts) ... As a starter, averaged 20.0 ppg (.471 FG%, 1-4 3pt, .765 FT%), 11.5 rpg, 1.3 apg, 0.5 spg, 1.5 bpg and 33.0 mpg in four games ... As a reserve, averaged 14.5 ppg (.508 FG%, .315 3pt%, .686 FT%), 7.3 rpg, 1.0 apg, 0.5 spg, 0.9 bpg and 24.8 mpg in 58 games ... Totaled 20 points and 10 rebounds or more in his first three career starts making him the first player to record 20 points and 10 rebounds in their first three games as a starter since starters were first listed during the 1970-71 season ... Recorded four games with 22 points and 11 rebounds or more before his 20th birthday, the most by a rookie in his teens in NBA history surpassing Carmelo Anthony, LeBron James and Luka Doncic who had three games each with 22 points and 11 boards or better ... One of six players in NBA history to post five or more 20-point and 10-rebound double-doubles during their rookie season while still in their teens as he ended the season with five ... Had four consecutive double-doubles from Jan. 30 to Feb. 6, the fourth longest double-doubles streak by a Kings rookie ... Tied for the 10th most blocks in a single season by a Kings rookie (59) with Jason Thompson ... Ranked fifth in points per game, third in rebounds per game, fourth in field goal percentage and sixth in blocks per game in the NBA among other first-year players ... His 15 double-doubles as a reserve ranked third in the NBA ... Led the Kings in points 10 times and rebounds 22 times ... Scored in double figures in 51 games this season, including 13 games with 20+ points and one game with 30 or more points ... Grabbed 10-plus boards in 19 contests as well as one outing with 15 or more rebounds ... Blocked five or more shots in one game ... Recorded 19 double-doubles ... Posted 15 of his 19 double-doubles off the bench, the second most by a rookie reserve tied with Robert Parish and only behind Jeff Ruland (39) in NBA history ... Missed 20 games ... Inactive in two games due to back spasms (12/1/18, 12/4/18) ... Inactive in 11 games due to a left knee bone contusion (12/16/18-1/5/19) ... Inactive in one game due to rest - return from injury management (1/8/19) ... Inactive in five games due to a left knee sprain (3/1-3/11/19) ... Inactive in one game due to stomach illness (3/31) ... Top Single- Game Performances: Recorded 20 points, nine rebounds and a career-high five blocks at Denver (10/23/18) as he is one of three rookies in the NBA since the 1983-84 season to post 20 points, nine boards and five blocks or more as a reserve (John Salley, DET vs. WSB, 11/5/86; Stanley Roberts, ORL at ATL, 2/6/92); one of three rookies in Kings team history since 1983-84 with 20 points, nine rebounds and five blocks (Briant Grant, SAC vs. DAL, 3/14/95 and SAC vs. DET, 1/5/95; Duane Causwell, SAC vs. GSW, 1/3/91); first Kings rookie with five blocks in a game since Francisco Garcia had five blocks in a contest (SAC vs. UTA, 2/5/06) ... Collected a career-high 17 rebounds and set career-bests with seven offensive rebounds and 10 defensive rebounds as he added 20 points at Golden State (11/24/18) as he is one of 10 rookies in franchise history with 20 points and 17 rebounds or better in a game ... Notched 22 points and 11 rebounds, including a career-high tying 10 defensive boards as he went 10-for-20 from the field in his first career start at Toronto (1/22/19) making him the first Kings player to collect a double-double with 20+ points and 10+ rebounds in their first career start since Mark Ratliff on Nov. 29, 1972 ... Scored a career-high 32 points as he went 10-of- 15 from the field and made a career-high 11 free throws on 13 attempts in a win vs. Phoenix (2/10/19) making him one of three rookies in his teens to post 30-plus points as a reserve in league history along with Ricky Davis (32 points, CHH vs. BOS, 5/5/99) and Myles Turner (31 points, IND vs. GSW, 1/22/16); Bagley III became the sixth Kings rookie to score 30 or more points off the bench in franchise history and just the fourth during the Sacramento era ... Recorded 28 points and 14 rebounds while tying his career-high with 11 made free throws on a new career-high 14 free throw attempts at Golden State (2/21/19) as he joined LeBron James (11/29/03, CLE vs. MEM) and Karl-Anthony Town (10/30/15, MIN at DEN) as the only three first-year players in their teens to have a game with 28-plus points while adding 14 rebounds or more; he is one of nine Kings rookies to post 28 points and 14 boards in a game as a teenager and the last Kings rookie since Lionel Simmons had 33 points and 14 rebounds on Feb. 12, 1991 ... Knocked down a career-high 12 field goals on 15 tries for 28 points to go with seven rebounds vs. Brooklyn (3/19) ... Tallied a double-double with 22 points, 12 rebounds and four blocks off the bench as he made a career-best three 3-pointers on a careerhigh five 3-point field goal attempts in a win vs. Dallas (3/21) making him just the second rookie since the 1983-84 season to record 22 points, 12 rebounds and four blocks or more (Greg Kelser, DET vs. BOS, 3/20/80); just the seventh rookie reserve with 20 points, 10 rebounds and four blocks and one of two Kings players in their first season to post 20-10-4 along with Grant again who completed the feat in three games (1/5, 1/28, 3/14/95) ... Tied his career-high with seven offensive rebounds totaling 12 rebounds and 20 points going 10-for-20 from the field tying his career-high in field goal attempts at Houston (3/30).","Born Marvin Bagley III on Mar. 14, 1999 ... Son of Marvin Bagley Jr. and Tracy Bagley ... As a native of Durham, N.C. his father played college football at North Carolina A&T and went on to play professionally for the Arizona Rattlers of the Arena Football League ... Has two brothers, Marcus and Martray ... His brother, Marcus, committed to Arizona State University to play basketball ... His grandfather, Joe Caldwell, played six seasons in the National Basketball Association from 1964-70 and five seasons in the American Basketball Association from (1970-75) and is one of 20 players to make an All-Star team in both the NBA and ABA ... Caldwell was also a member of the United States Olympic basketball team that brought the gold medal home from the 1964 Summer Olympics in Tokyo, Japan ... Loves to write and record music and has recorded three studio albums; his recent album 'On The Way' featured a song with Dame D.O.L.L.A, better known as Trail Blazers guard Damian Lillard ... While living in Los Angeles, he volunteered at Hoops with Heart, a non-profit benefiting underprivileged youth.","COLLEGE (Duke, 2017-18): A consensus First Team All-American after he averaged 21.0 ppg (.614 FG%, .397 3pt%, .627 FT%), 11.1 rpg, 1.5 apg, 0.8 spg, 0.9 bpg and 33.9 mpg in 33 games (32 starts) in his lone season as a Blue Devil ... Led the ACC in scoring, rebounding and field goal percentage becoming only the third player in ACC history to lead in all three categories since Tim Duncan at Wake Forest (1996-97) and Horace Grant at Clemson (1986-87), as he was the only freshman amongst the trio ... Just the second player in conference history who was awarded ACC Player of the Year and Rookie of the Year in the same season ... Selected by the National Association of Basketball Coaches as Freshman of the Year and the Pete Newell Big Man of the Year ... An All-ACC Academic Team member ... Entrenched himself in the freshman record books at Duke as he set the records for total points (946), scoring average, total rebounds (366), rebounding average, double-doubles (22), 30-point game (seven) and 20-and-10 games (12) ... All seven of his 30-point outings were met with 10-plus rebounds ... Top Single-Game Performances: Snagged 15 rebounds to go with a career-high 34 points (12-19 FG, 1-2 3pt, 9-13 FT) in a win over Texas (11/24/17) ... Notched 30 points (10-20 FG, 1-2 3pt, 9-10 FT)and 15 boards in a win against Florida (11/26/17) ... Had a monster 32-point and career-best 21-rebound performance as he went 13-for-17 from the field in a won vs. Florida State (12/30/17) ... Knocked down 13 shots on 18 tries for 30 points as he added 14 rebounds versus Virginia (1/27/18) ... Totaled 33 points (15-23 FG, 2-3 3pt, 1-4 FT) and 17 rebounds in a win vs. Notre Dame (3/8/18). USA BASKETBALL: Promoted to the 2019 Men's National Team on Aug. 9, 2019 to be a finalist for the 2019 World Cup team before withdrawing his name as a candidate for selection ... Selected to the 2019 USA Men's Select Team on July 25, 2019 who worked with the Men's National Team in Las Vegas during training camp from Aug. 5-8 for the 2019 FIBA World Cup ... Participated in the 2014 USA Basketball Junior National Team October minicamp. HIGH SCHOOL: As a freshman, attended Corona del Sol High School in Tempe, Ariza before going to Phoenix for his sophomore season to play at Hillcrest Prep as he teamed up with the 2018 No. 1 pick, Deandre Ayton during the 2015-16 season ... Transferred to Sierra Canyon in Chatsworth, California for his junior year before being ruled ineligible by the CIF ... Went on to average 24.9 points and 10.1 rebounds per game during his senior season as he was named 2017 California Gatorade Player of the Year and was an All-USA Today First Team selection."
"1564","Etdrick","Bohannon","https://www.nba.com/stats/player/1564/career/","https://cdn.nba.com/headshots/nba/latest/260x190/1564.png","1610612746","41","F",6,9,"235.0","Auburn-Montgomery","USA","{CLE,LAC,NYK,WAS,IND}",51,NULL,False,"May 29, 1973","No professional bio available","No personal bio available","No before NBA bio available"
"76010","Charles","Acton","https://www.nba.com/stats/player/76010/career/","https://cdn.nba.com/headshots/nba/latest/260x190/76010.png","1610612745","24","F",6,6,"210","Hillsdale","USA",NULL,82,NULL,False,"January 11, 1942","No professional bio available","No personal bio available","No before NBA bio available"
"1627817","Tim","Quarterman","https://www.nba.com/stats/player/1627817/career/","https://cdn.nba.com/headshots/nba/latest/260x190/1627817.png","1610612757","55","G",6,6,"190","Louisiana State","USA","{HOU,POR}",30,NULL,False,"October 27, 1994","No professional bio available","No personal bio available","No before NBA bio available"
"77892","Bob","Quick","https://www.nba.com/stats/player/77892/career/","https://cdn.nba.com/headshots/nba/latest/260x190/77892.png","1610612765","14","F",6,5,"215","Xavier","USA","{DET}",78,NULL,False,"March 5, 1946","No professional bio available","No personal bio available","No before NBA bio available"
"202386","Ben","Uzoh","https://www.nba.com/stats/player/202386/career/","https://cdn.nba.com/headshots/nba/latest/260x190/202386.png","1610612751","18","G",6,3,"205","Tulsa","USA","{TOR,CLE}",36,NULL,False,"March 18, 1988","No professional bio available","No personal bio available","No before NBA bio available"
"76326","Gerry","Calabrese","https://www.nba.com/stats/player/76326/career/","https://cdn.nba.com/headshots/nba/latest/260x190/fallback.png","1610612755","13","G",6,1,"175.0","St. John's (NY)","USA",NULL,99,NULL,False,"February 4, 1925","No professional bio available","No personal bio available","No before NBA bio available"
"76331","Bill","Calhoun","https://www.nba.com/stats/player/76331/career/","https://cdn.nba.com/headshots/nba/latest/260x190/fallback.png","1610612737","3","F",6,3,"180.0","CC of San Francisco","USA",NULL,97,NULL,False,"November 4, 1927","No professional bio available","No personal bio available","No before NBA bio available"
"754","Jim","Jackson","https://www.nba.com/stats/player/754/career/","https://cdn.nba.com/headshots/nba/latest/260x190/fallback.png","1610612742","24","F/G",6,6,"220.0","Ohio State","USA","{LAL,PHX,HOU,SAC,MIA,CLE,ATL,POR,GSW,PHI,DAL}",54,NULL,False,"October 14, 1970","No professional bio available","No personal bio available","No before NBA bio available"
